indiv,ssp,PitOpening,PitDiameter,Wthickness,VesselDiameter,PitFraction,HydraulicDiameter,VesselDensity,VesselFraction,Kmax,parasitism
Phoradendron perrotettii 1,Phoradendron perrotettii,3.4712964,4.78438,4.16935566666667,62.1072462223253,67.9716363636364,68.2566361450976,46.7077755074677,6.215,24.3742612815935,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,3.4483592,4.00498,4.013152,64.82953701099,64.4036,69.8862131085356,38.9699253502299,5.59818181818182,22.6976017004465,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,2.8673216,4.39004,3.78454266666667,72.9214783007909,67.6762,77.0969807875777,41.5543692422884,7.93,36.536235540482,Parasite
Populus nigra 1,Populus nigra,2.85854,6.99482,2.84985,50.6840391927379,69.3701538461539,55.7920322067009,216.663498250675,20.8463636363636,52.7447399828925,Host
Populus nigra 2,Populus nigra,2.29294,8.29916,1.03316666666667,,74.0749,,,,,Host
Populus nigra 3,Populus nigra,3.03452,7.84318,0.884733333333333,,73.7684166666667,,,,,Host
Psittacanthus robustus 1,Psittacanthus robustus,3.4497034,9.21384,4.19495266666667,90.6107752366863,68.1117,98.5103474422779,20.1239838852712,5.80454545454546,46.2093315612319,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,2.8043158,9.69046,4.488913,79.6327172960034,70.4836,92.8534529484829,20.1639593958673,5.263,37.0281875757116,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,2.4757018,9.19904,4.1190435,100.403722638705,75.9521,128.081586246296,13.9425910658226,6.001,91.6692067742261,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,2.2490754,5.3387,3.78354166666667,57.7539666081696,61.9013,62.0697972845881,61.0990891345429,6.559,22.5622942982324,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,2.301156,5.31594,5.06560816666667,53.8822879820992,55.3211,60.4518202858113,86.5517322990571,8.502,28.0514255886221,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,2.0220772,4.67138,4.36767283333333,51.0878270011234,51.9375555555556,55.3942365114177,53.8989216037978,5.026,12.913223407923,Parasite
Tapirira guianensis 1,Tapirira guianensis,3.8939186,8.40092,4.5747845,102.821742368484,78.857,119.331910323595,40.2344304718708,15.248,200.770091693935,Host
Tapirira guianensis 2,Tapirira guianensis,3.7539788,6.08588,4.40392333333333,61.3586380641401,62.6274545454546,71.3862713145549,107.191306120377,14.071,68.4397913665415,Host
Tapirira guianensis 3,Tapirira guianensis,3.0116086,7.86148,3.57097216666667,99.3711699162466,71.2416363636364,113.129568498146,53.3867483848859,18.023,217.501909266534,Host
Tipuana tipu 1,Tipuana tipu,3.8533066,7.3956,5.02103983333333,70.6388295009449,71.9393,101.763736565074,43.5232070787234,13.679,116.086556101985,Host
Tipuana tipu 2,Tipuana tipu,4.5992804,8.54128,5.14776166666667,120.395605552432,69.714,161.170045766984,40.4464188325966,25.129,643.999165943682,Host
Tipuana tipu 3,Tipuana tipu,3.9511758,6.74725490196078,5.03655533333333,75.0173615918607,59.2176,124.41263602204,33.1398460354552,10.0381818181818,167.028059344241,Host
Viscum album 1,Viscum album,1.574573,4.08108163265306,4.08817933333333,28.391375763191,38.5801,30.0155160156277,155.930726704838,3.74727272727273,3.06296953446584,Parasite
Viscum album 2,Viscum album,1.7509206,3.66376,3.489057,30.0297257209407,28.4645454545455,31.7903450576507,157.234493498573,4.408,4.0016220878142,Parasite
Viscum album 3,Viscum album,1.243528,3.64488,4.48960416666667,27.8547176987841,25.3874,29.5387521365884,166.3809137238,3.895,3.13955281438498,Parasite
Vochysia thyrsoidea 1,Vochysia thyrsoidea,4.5231758,7.72268,5.58796333333333,122.571540634865,59.318,141.842617089306,18.0007212412395,9.97818181818182,179.987026390707,Host
Vochysia thyrsoidea 2,Vochysia thyrsoidea,4.695119,6.41628,4.4538065,112.687741296074,59.7274545454545,128.657899515675,15.9863374822075,7.208,102.764552060688,Host
Vochysia thyrsoidea 3,Vochysia thyrsoidea,3.3123662,5.87548,4.56088966666667,101.470447749091,67.0760909090909,119.079243173279,21.2501243130398,8.176,108.70291202085,Host
