indiv,ssp,PitOpening,PitDiameter,Wthickness,VesselDiameter,PitFraction,HydraulicDiameter,VesselDensity,VesselFraction,Kmax,parasitism
Phoradendron perrotettii 1,Phoradendron perrotettii,3.49492,4.7295,4.09266,87.8591144048243,67.194,68.6723509057911,44.617705627505,6.1,25.3730620177955,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,3.46775,4.04,4.027595,87.9579042042272,64.103,70.0487849345691,39.3228898346091,5.43,23.0126622892802,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,2.72415,4.3325,3.7576825,93.9319966784482,67.8775,77.6434237713499,43.1127018093952,8.2,39.7972461498406,Parasite
Populus nigra 1,Populus nigra,2.8785,7.049,1.9405,73.6974051103565,70.343,55.6995797277333,218.547576126187,19.9,45.1581228725372,Host
Populus nigra 2,Populus nigra,2.216,8.413,1.1495,74.0781790272952,74.616,48.1476291854445,156.749494727047,11.3435,22.6742307135099,Host
Populus nigra 3,Populus nigra,2.858,7.8405,0.951,71.04481655969,74.332,49.3706908174218,151.104110983798,9.531,21.4918865206259,Host
Psittacanthus robustus 1,Psittacanthus robustus,3.42199,9.099,4.202055,123.757674811937,69.4175,99.1740699648201,19.87169314173,5.89,45.9643234353029,Parasite
Psittacanthus robustus 2,Psittacanthus robustus,2.691975,9.509,4.15415,118.465872630456,73.7485,91.5599089265445,18.3353447385879,4.85,33.5045612990047,Parasite
Psittacanthus robustus 3,Psittacanthus robustus,2.19934,9.0855,3.9721825,126.801418635597,74.984,100.975615104968,13.8835821912936,4.21,37.9564171456398,Parasite
Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus,2.20506,5.3825,3.5732125,79.3349828259892,61.4,61.5844210062632,59.7489820752296,6.655,20.9339299950673,Parasite
Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus,2.24367,5.2925,5.01215,79.4737278853836,56.297,59.8462253104741,90.1348058796645,8.885,26.4974005916774,Parasite
Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus,1.926925,4.612,4.422275,71.4492840831873,53.842,56.0698099747098,53.0698048705866,5.215,13.3047440861128,Parasite
Tapirira guianensis 1,Tapirira guianensis,3.56499,8.078,4.483765,159.657970161217,79,119.416166247219,37.0359814563268,15.175,186.227859541209,Host
Tapirira guianensis 2,Tapirira guianensis,3.77806,5.9685,4.39296,104.321374990938,65.836,70.6706051243664,94.8400634400754,13.955,59.1608087903016,Host
Tapirira guianensis 3,Tapirira guianensis,2.94008,7.7695,3.6211175,149.279258438673,71.887,112.831908426521,53.8248551145703,17.505,211.303371491787,Host
Tipuana tipu 1,Tipuana tipu,3.672955,7.2615,4.6349875,151.461068476358,73.1715,99.7880360719975,41.0044429833016,14.115,96.1327916597991,Host
Tipuana tipu 2,Tipuana tipu,4.510935,8.33,5.0167975,226.013685655077,70.3855,163.447151937312,41.5894311935814,26.03,671.788010579161,Host
Tipuana tipu 3,Tipuana tipu,4.02831,6.823,5.091515,175.738143270037,61.775,129.445330270141,25.0626914994082,8.79,142.313294078147,Host
Viscum album 1,Viscum album,1.45145,3.797,3.88388,38.1143706423174,35.899,30.0078875449887,151.198108396693,3.69,2.97779755725277,Parasite
Viscum album 2,Viscum album,1.695265,3.691,3.42485,40.9307347346342,27.987,31.6458180548003,160.592438447174,4.57,4.28304700576918,Parasite
Viscum album 3,Viscum album,1.19977,3.6275,4.35435,37.5882417202661,24.1805,29.2939899836189,168.438494501571,3.83,3.29308131103552,Parasite
Vochysia thyrsoidea 1,Vochysia thyrsoidea,4.486625,7.7155,5.24953,189.60858177745,59.631,144.198343835245,17.0306055086821,9.61,181.902428083126,Host
Vochysia thyrsoidea 2,Vochysia thyrsoidea,4.693975,6.184,4.3110925,169.933957159833,58.222,128.970797333309,15.3207712270225,7.38,97.8456588763879,Host
Vochysia thyrsoidea 3,Vochysia thyrsoidea,3.17317,5.825,4.44158,163.276088670085,70.025,119.520211052439,22.8548012646255,7.525,106.438251308261,Host
