ssp,pcd,Tpm,parasitism
Psittacanthus robustus,954,717.4,Parasite
Psittacanthus robustus,680,463,Parasite
Psittacanthus robustus,573,523.4,Parasite
Psittacanthus robustus,537,454,Parasite
Psittacanthus robustus,548,640.4,Parasite
Psittacanthus robustus,913,491.2,Parasite
Psittacanthus robustus,727,653.6,Parasite
Psittacanthus robustus,534,395.4,Parasite
Psittacanthus robustus,1034,662,Parasite
Psittacanthus robustus,1332,571.4,Parasite
Psittacanthus robustus,1438,509.6,Parasite
Psittacanthus robustus,944,601.6,Parasite
Psittacanthus robustus,788,665,Parasite
Psittacanthus robustus,1253,544,Parasite
Psittacanthus robustus,1313,573.2,Parasite
Psittacanthus robustus,542,558.2,Parasite
Psittacanthus robustus,602,695,Parasite
Psittacanthus robustus,280,684.4,Parasite
Psittacanthus robustus,167,671,Parasite
Psittacanthus robustus,494,726.2,Parasite
Psittacanthus robustus,1160,772.4,Parasite
Psittacanthus robustus,472,622.2,Parasite
Psittacanthus robustus,696,902.2,Parasite
Psittacanthus robustus,1230,868,Parasite
Psittacanthus robustus,1012,775.4,Parasite
Psittacanthus robustus,962,595.4,Parasite
Psittacanthus robustus,642,669.2,Parasite
Psittacanthus robustus,1344,555.4,Parasite
Psittacanthus robustus,960,501.6,Parasite
Psittacanthus robustus,786,665.4,Parasite
Vochysia thyrsoidea,1062,385,Host
Vochysia thyrsoidea,988,376.4,Host
Vochysia thyrsoidea,809,399,Host
Vochysia thyrsoidea,1822,313,Host
Vochysia thyrsoidea,1413,195.6,Host
Vochysia thyrsoidea,1322,262,Host
Vochysia thyrsoidea,666,320.4,Host
Vochysia thyrsoidea,697,280.6,Host
Vochysia thyrsoidea,986,279,Host
Vochysia thyrsoidea,659,353.6,Host
Vochysia thyrsoidea,684,358.4,Host
Vochysia thyrsoidea,1475,316.4,Host
Vochysia thyrsoidea,1195,347.6,Host
Vochysia thyrsoidea,1342,276.8,Host
Vochysia thyrsoidea,775,321,Host
Vochysia thyrsoidea,950,387.6,Host
Vochysia thyrsoidea,913,366.2,Host
Vochysia thyrsoidea,1352,348,Host
Vochysia thyrsoidea,1207,445.6,Host
Vochysia thyrsoidea,1356,473.2,Host
Vochysia thyrsoidea,922,483.6,Host
Vochysia thyrsoidea,1497,440.8,Host
Vochysia thyrsoidea,1592,396.6,Host
Vochysia thyrsoidea,1324,278.2,Host
Vochysia thyrsoidea,680,320.2,Host
Vochysia thyrsoidea,1138,306.6,Host
Vochysia thyrsoidea,1074,266.6,Host
Vochysia thyrsoidea,911,331.8,Host
Vochysia thyrsoidea,1279,306.8,Host
Vochysia thyrsoidea,945,291.2,Host
Vochysia thyrsoidea,1756,285.2,Host
Phoradendron perrotettii,492,507.6,Parasite
Phoradendron perrotettii,599,512.8,Parasite
Phoradendron perrotettii,447,450.2,Parasite
Phoradendron perrotettii,675,518.2,Parasite
Phoradendron perrotettii,316,514.8,Parasite
Phoradendron perrotettii,433,483.8,Parasite
Phoradendron perrotettii,313,371.2,Parasite
Phoradendron perrotettii,854,356,Parasite
Phoradendron perrotettii,506,338,Parasite
Phoradendron perrotettii,490,417.8,Parasite
Phoradendron perrotettii,383,397.2,Parasite
Phoradendron perrotettii,511,435.4,Parasite
Phoradendron perrotettii,548,427.6,Parasite
Phoradendron perrotettii,574,474,Parasite
Phoradendron perrotettii,622,569.8,Parasite
Phoradendron perrotettii,528,480.6,Parasite
Phoradendron perrotettii,518,516.4,Parasite
Phoradendron perrotettii,731,547.4,Parasite
Phoradendron perrotettii,527,527.8,Parasite
Phoradendron perrotettii,449,470.8,Parasite
Phoradendron perrotettii,593,439,Parasite
Phoradendron perrotettii,694,447.6,Parasite
Phoradendron perrotettii,440,353.4,Parasite
Phoradendron perrotettii,783,401.6,Parasite
Phoradendron perrotettii,474,362,Parasite
Phoradendron perrotettii,507,459.8,Parasite
Phoradendron perrotettii,814,568.4,Parasite
Phoradendron perrotettii,551,502.8,Parasite
Phoradendron perrotettii,537,443.8,Parasite
Phoradendron perrotettii,573,617.2,Parasite
Tapirira guianensis,1003,327.2,Host
Tapirira guianensis,1131,288.6,Host
Tapirira guianensis,1010,339,Host
Tapirira guianensis,1137,294.6,Host
Tapirira guianensis,1541,302.6,Host
Tapirira guianensis,1195,362.4,Host
Tapirira guianensis,872,400.2,Host
Tapirira guianensis,1144,307.8,Host
Tapirira guianensis,526,241.2,Host
Tapirira guianensis,649,242.2,Host
Tapirira guianensis,1119,251.2,Host
Tapirira guianensis,1282,312.6,Host
Tapirira guianensis,1005,344,Host
Tapirira guianensis,1075,331.8,Host
Tapirira guianensis,512,289,Host
