ssp,indiv,Label,Area,Circ.,X.Area,AR,Round,VesselDiameter,parasitism
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1339.591,0.851,99.176,1.15,0.869,67.5275333771344,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1317.505,0.857,100,1.062,0.942,67.2042196591851,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,930.154,0.786,99.543,1.543,0.648,54.077760456587,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,669.371,0.806,100,1.341,0.746,46.4548394034464,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,801.886,0.769,100,1.713,0.584,49.664890375395,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,680.414,0.827,99.875,1.568,0.638,47.4426971408667,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1194.334,0.887,99.787,1.359,0.736,65.096060034383,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1940.156,0.906,100,1.147,0.872,83.8518058481748,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1024.443,0.908,100,1.224,0.817,60.9981719070334,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1736.287,0.886,99.413,1.421,0.704,78.4436175096483,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,970.927,0.807,100,1.514,0.661,55.9835007479883,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,966.68,0.891,99.912,1.201,0.832,58.6962308841036,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,787.445,0.915,100,1.208,0.827,53.6847157019575,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1418.59,0.885,100,1.262,0.792,70.8647204185552,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1502.686,0.872,100,1.091,0.916,72.3972980711297,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,500.329,0.595,100,3.001,0.333,34.5077240628819,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1273.333,0.828,99.867,1.69,0.592,64.9405797325524,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,2677.483,0.62,99.937,2.69,0.372,81.4871636517065,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,2206.885,0.656,100,2.672,0.374,76.097741359386,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1779.609,0.822,98.711,1.447,0.691,76.4941461289686,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1269.936,0.764,100,1.952,0.512,62.2970658699108,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1458.515,0.446,99.942,2.729,0.366,51.0097124085208,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,638.79,0.629,100,2.867,0.349,40.0898445993496,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1453.418,0.805,100,1.758,0.569,68.4105690664827,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1368.472,0.752,100,2.131,0.469,64.1588947535726,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,2110.047,0.877,99.799,1.208,0.828,86.0351374497653,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1668.33,0.722,100,1.891,0.529,69.4128017011272,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,2304.572,0.867,100,1.197,0.836,89.399416642392,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,676.166,0.84,100,1.7,0.588,47.6646384650088,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,240.396,0.848,100,1.621,0.617,28.5556164703198,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,2260.401,0.741,100,1.559,0.641,81.8524804999824,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,579.329,0.819,100,1.652,0.605,43.564685285217,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,287.965,0.879,100,1.384,0.723,31.8195685074452,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,2500.796,0.848,99.966,1.056,0.947,92.1015745359437,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1490.794,0.822,100,1.702,0.587,70.0123608514954,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1122.98,0.799,100,1.843,0.543,59.9086310976974,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,458.706,0.752,100,2.175,0.46,37.1454929702111,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,806.133,0.87,100,1.264,0.791,52.9654872534937,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1615.664,0.822,100,1.383,0.723,72.8855488557231,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1674.276,0.813,100,1.587,0.63,73.7885191069722,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1905.328,0.684,100,1.677,0.596,72.2009515726767,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1749.028,0.696,99.951,1.991,0.502,69.7803263964851,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,905.519,0.827,100,1.495,0.669,54.7307669597275,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1758.372,0.615,100,2.954,0.339,65.7692566477682,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,500.329,0.76,100,1.941,0.515,39.000002051282,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,535.157,0.768,100,1.914,0.523,40.5462982774014,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,2408.206,0.473,100,2.203,0.454,67.5005611235936,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,701.65,0.727,100,1.844,0.542,45.1707670955453,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1912.973,0.866,100,1.27,0.787,81.4035531902631,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,496.931,0.894,100,1.353,0.739,42.1547773805058,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,914.863,0.651,100,2.475,0.404,48.8088439936862,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,582.726,0.71,100,2.191,0.457,40.6809763894624,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1337.892,0.855,100,1.528,0.654,67.6431122879484,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1269.086,0.848,100,1.232,0.812,65.6105152547974,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1499.289,0.507,99.773,2.098,0.477,55.1412558072447,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,1749.028,0.837,99.854,1.452,0.689,76.5228445890507,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,750.069,0.764,98.414,1.748,0.572,47.8770390061875,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,590.371,0.75,100,2.297,0.435,42.084593380476,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,615.006,0.852,100,1.514,0.661,45.7814421791188,Parasite
