indiv,ssp,WallThickness,parasitism
Phoradendron perrotettii 1,Phoradendron perrotettii,3.04304,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,3.28185,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,3.471325,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,3.54068,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,3.552835,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,3.61933,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,3.74803,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,3.770195,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,3.77663,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,3.777345,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,3.82668,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,3.86815,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,3.964675,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,4.02831,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,4.04261,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,4.14271,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,4.19705,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,4.197765,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,4.25997,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,4.317885,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,4.42013,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,4.633915,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,4.64893,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,4.6618,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,4.703985,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,4.796935,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,4.82482,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,5.16373,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,5.28099,Parasite
Phoradendron perrotettii 1,Phoradendron perrotettii,5.51837,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,2.86572,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,2.895035,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,2.99156,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,3.07736,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,3.14743,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,3.25468,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,3.6179,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,3.64936,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,3.672955,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,3.690115,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,3.75232,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,3.838835,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,3.857425,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,3.91963,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,3.954665,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,4.100525,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,4.11125,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,4.126265,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,4.21278,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,4.22994,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,4.26855,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,4.276415,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,4.429425,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,4.573855,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,4.58887,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,4.728295,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,4.878445,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,5.007145,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,5.0479,Parasite
Phoradendron perrotettii 2,Phoradendron perrotettii,5.62991,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,2.783495,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.21321,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.263975,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.301155,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.301155,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.344055,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.34763,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.34906,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.39196,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.409835,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.43343,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.602885,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.697265,Parasite
Phoradendron perrotettii 3,Phoradendron perrotettii,3.70656,Parasite
