ssp,pc1,pc2,pc3,pe1,pe2,pcd,parasitism,peavg,pcavg,pitavg
Psittacanthus robustus,0.697,0.758,0.728,0.761,0.643,0.954,,0.702,0.727666666666667,0.7174
Psittacanthus robustus,0.552,0.564,0.472,0.378,0.349,0.68,,0.3635,0.529333333333333,0.463
Psittacanthus robustus,0.531,0.561,0.649,0.524,0.352,0.573,,0.438,0.580333333333333,0.5234
Psittacanthus robustus,0.531,0.496,0.573,0.347,0.323,0.537,,0.335,0.533333333333333,0.454
Psittacanthus robustus,0.746,0.811,0.736,0.426,0.483,0.548,,0.4545,0.764333333333333,0.6404
Psittacanthus robustus,0.563,0.538,0.543,0.421,0.391,0.913,,0.406,0.548,0.4912
Psittacanthus robustus,0.742,0.714,0.668,0.534,0.61,0.727,,0.572,0.708,0.6536
Psittacanthus robustus,0.336,0.366,0.42,0.439,0.416,0.534,,0.4275,0.374,0.3954
Psittacanthus robustus,0.615,0.677,0.693,0.724,0.601,1.034,,0.6625,0.661666666666667,0.662
Psittacanthus robustus,0.697,0.618,0.6,0.499,0.443,1.332,,0.471,0.638333333333333,0.5714
Psittacanthus robustus,0.587,0.558,0.475,0.464,0.464,1.438,,0.464,0.54,0.5096
Psittacanthus robustus,0.671,0.774,0.63,0.509,0.424,0.944,,0.4665,0.691666666666667,0.6016
Psittacanthus robustus,0.691,0.791,0.713,0.503,0.627,0.788,,0.565,0.731666666666667,0.665
Psittacanthus robustus,0.555,0.517,0.555,0.579,0.514,1.253,,0.5465,0.542333333333333,0.544
Psittacanthus robustus,0.666,0.647,0.514,0.475,0.564,1.313,,0.5195,0.609,0.5732
Psittacanthus robustus,0.569,0.671,0.55,0.511,0.49,0.542,,0.5005,0.596666666666667,0.5582
Psittacanthus robustus,0.728,0.734,0.691,0.703,0.619,0.602,,0.661,0.717666666666667,0.695
Psittacanthus robustus,0.683,0.716,0.718,0.542,0.763,0.28,,0.6525,0.705666666666667,0.6844
Psittacanthus robustus,0.625,0.774,0.749,0.647,0.56,0.167,,0.6035,0.716,0.671
Psittacanthus robustus,0.71,0.843,0.712,0.668,0.698,0.494,,0.683,0.755,0.7262
