ssp,indiv,pic,Count,Total.Area,Average.Size,X.Area,Circ.,Solidity,vdensity,parasitism
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,56,64082.60845,558.211,5.619,0.782,0.948,49.1028701251314,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 010-1.tif,48,70519.94875,716.666,6.184,0.792,0.952,42.0919194159227,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 004-1.tif,53,64979.5921,598.063,5.657,0.792,0.951,46.1407944110502,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 007-1.tif,54,66481.0326,600.551,5.848,0.751,0.956,47.5010672442534,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 001-1.tif,69,69716.98425,492.874,6.28,0.785,0.95,62.1541514828218,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,54,64921.9297,586.467,6.235,0.803,0.957,51.8607505284921,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 002-1.tif,41,55654.1298,662.155,4.846,0.793,0.933,35.7001359493002,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 003-1.tif,40,52047.32905,634.724,4.532,0.79,0.952,34.8298372479116,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 005-1.tif,36,51799.02485,701.884,4.51,0.797,0.959,31.3442194076362,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,81,85367.7892,514.109,7.433,0.803,0.952,70.5269523367252,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendron perrotettii 2 - GC4841 x10 001-1.tif,43,48976.3942,555.603,4.308,0.805,0.952,37.8231192854945,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendron perrotettii 2 - GC4841 x10 002-1.tif,53,71354.84815,656.74,6.253,0.797,0.956,46.4451972910547,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendron perrotettii 2 - GC4841 x10 003-1.tif,50,59116.8955,576.75,5.18,0.793,0.954,43.8115022464263,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendron perrotettii 2 - GC4841 x10 004-1.tif,33,43998.97575,650.391,3.856,0.782,0.951,28.9206732272626,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendron perrotettii 2 - GC4841 x10 005-1.tif,28,42777.3008,745.249,3.748,0.748,0.948,24.5326371784542,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendron perrotettii 2 - GC4841 x10 006-1.tif,46,62463.99815,662.397,5.474,0.722,0.951,40.3118608250663,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendron perrotettii 2 - GC4841 x10 007-1.tif,46,55807.94335,591.813,4.89,0.743,0.95,40.3060902261327,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendron perrotettii 2 - GC4841 x10 008-1.tif,37,51180.6649,674.762,4.485,0.778,0.953,32.4233771335784,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendron perrotettii 2 - GC4841 x10 009-1.tif,47,68754.65275,713.593,6.025,0.766,0.952,41.1863035698337,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendron perrotettii 2 - GC4841 x10 011-1.tif,54,66289.2592,598.819,5.809,0.736,0.949,47.3207882823949,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendron Perrottettii 3- GC4841 x10 001.tif,49,70265.8451,699.511,6.175,0.772,0.952,43.061461734273,Parasite
Phoradendron perrotettii,Phoradendron Perrottettii 3,Phoradendron Perrottettii 3- GC4841 x10 002.tif,49,75818.91995,754.793,6.663,0.773,0.958,43.0614153057452,Parasite
Phoradendron perrotettii,Phoradendron Perrottettii 3,Phoradendron Perrottettii 3- GC4841 x10 003.tif,49,86058.1472,856.726,7.563,0.795,0.96,43.062395840193,Parasite
Phoradendron perrotettii,Phoradendron Perrottettii 3,Phoradendron Perrottettii 3- GC4841 x10 004.tif,52,95016.6185,891.338,8.35,0.757,0.956,45.6972692624291,Parasite
Phoradendron perrotettii,Phoradendron Perrottettii 3,Phoradendron Perrottettii 3- GC4841 x10 005.tif,56,97967.2204,853.373,8.61,0.783,0.956,49.2164622035148,Parasite
Phoradendron perrotettii,Phoradendron Perrottettii 3,Phoradendron Perrottettii 3- GC4841 x10 001.tif,55,74472.4615,660.51,6.545,0.755,0.951,48.3366593166791,Parasite
Phoradendron perrotettii,Phoradendron Perrottettii 3,Phoradendron Perrottettii 3- GC4841 x10 006.tif,61,98784.6538,789.961,8.682,0.758,0.955,53.6117685923398,Parasite
Phoradendron perrotettii,Phoradendron Perrottettii 3,Phoradendron Perrottettii 3- GC4841 x10 007.tif,46,56930.10515,603.713,5.003,0.742,0.945,40.4246574626255,Parasite
Phoradendron perrotettii,Phoradendron Perrottettii 3,Phoradendron Perrottettii 3- GC4841 x10 008.tif,44,85355.05255,946.287,7.501,0.716,0.949,38.6671895968507,Parasite
Phoradendron perrotettii,Phoradendron Perrottettii 3,Phoradendron Perrottettii 3- GC4841 x10 009.tif,54,86608.50455,782.371,7.611,0.754,0.957,47.4542312138329,Parasite
Phoradendron perrotettii,Phoradendron Perrottettii 3,Phoradendron Perrottettii 3- GC4841 x10 010.tif,57,98710.4192,844.762,8.675,0.801,0.962,50.0934961078557,Parasite
Phoradendron perrotettii,Phoradendron Perrottettii 3,Phoradendron Perrottettii 3- GC4841 x10 011.tif,48,74135.41895,753.409,6.515,0.795,0.96,42.1822665102778,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 006.tif,102,279528.7422,1336.818,6.132,0.805,0.947,22.3756596576565,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 007.tif,85,244283.8138,1401.916,5.359,0.797,0.946,18.6469579344679,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,72,198866.7772,1347.336,4.362,0.805,0.945,15.7926831430544,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,93,242288.88295,1270.857,5.315,0.786,0.942,20.4010598415283,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 010.tif,111,273452.0297,1201.723,5.998,0.793,0.941,24.3471588318586,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 011.tif,95,258976.8608,1329.791,5.681,0.788,0.942,20.8395066004291,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 001.tif,93,291413.2236,1528.525,6.392,0.784,0.943,20.3990742992488,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 002.tif,81,246571.51745,1484.923,5.409,0.795,0.945,17.7688406402757,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 003.tif,91,265206.7657,1421.639,5.818,0.809,0.945,19.9632161948273,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 004.tif,72,177681.68975,1203.805,3.898,0.827,0.946,15.7954373573825,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 005.tif,83,259889.21945,1527.412,5.701,0.761,0.936,18.2071038191346,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 001-1.tif,66,172663.7223,1276.155,3.838,0.788,0.945,14.6705976580235,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 002-1.tif,38,127376.0489,1635.123,4.419,0.806,0.947,13.1831691632884,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 003-1.tif,74,181933.687,1199.299,4.044,0.801,0.945,16.4486305386643,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 004-1.tif,67,164663.57065,1198.861,3.661,0.811,0.946,14.8962517350829,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 005-1.tif,54,144155.9426,1302.222,3.205,0.771,0.946,12.0057485580203,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 006-1.tif,48,145851.29465,1482.229,5.149,0.79,0.951,16.9454786529727,Parasite
