ssp,indiv,pic,Area,Circ.,X.Area,AR,Round,Solidity,VesselDiameter
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1733.7506,0.769,99.315,1.566,0.638,0.971,46.9838251383209
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1979.6112,0.656,98.844,2.13,0.469,0.957,50.2047733093242
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1199.6354,0.736,100,1.937,0.516,0.974,39.0822623519185
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,345.90265,0.821,99.51,1.671,0.599,0.948,20.9861128513283
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,353.53275,0.798,96.882,1.313,0.761,0.929,21.2163115941242
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,690.1079,0.832,100,1.556,0.643,0.947,29.6424133365376
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,678.24045,0.782,99,1.675,0.597,0.945,29.3864349960823
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,222.12365,0.916,100,1.25,0.8,0.936,16.8171524046407
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1445.49805,0.818,100,1.351,0.74,0.96,42.9006442736885
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1539.6033,0.789,98.733,1.688,0.592,0.962,44.275092374435
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1151.31075,0.852,99.485,1.396,0.716,0.959,38.2870000806892
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,452.72405,0.525,98.876,3.51,0.285,0.926,24.0088767607454
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1985.54595,0.804,97.78,1.504,0.665,0.966,50.2799723690134
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1107.2255,0.723,100,1.707,0.586,0.939,37.5468146656832
