label,ssp,Length,Wthickness
Phoradendron perrotettii 1,Phoradendron perrotettii,8.08522,4.04261
Phoradendron perrotettii 1,Phoradendron perrotettii,7.55469,3.777345
Phoradendron perrotettii 1,Phoradendron perrotettii,9.59387,4.796935
Phoradendron perrotettii 1,Phoradendron perrotettii,6.94265,3.471325
Phoradendron perrotettii 1,Phoradendron perrotettii,7.10567,3.552835
Phoradendron perrotettii 1,Phoradendron perrotettii,8.84026,4.42013
Phoradendron perrotettii 1,Phoradendron perrotettii,6.5637,3.28185
Phoradendron perrotettii 1,Phoradendron perrotettii,7.7363,3.86815
Phoradendron perrotettii 1,Phoradendron perrotettii,7.65336,3.82668
Phoradendron perrotettii 1,Phoradendron perrotettii,8.51994,4.25997
Phoradendron perrotettii 1,Phoradendron perrotettii,9.29786,4.64893
Phoradendron perrotettii 1,Phoradendron perrotettii,10.56198,5.28099
Phoradendron perrotettii 1,Phoradendron perrotettii,7.23866,3.61933
Phoradendron perrotettii 1,Phoradendron perrotettii,8.63577,4.317885
Phoradendron perrotettii 1,Phoradendron perrotettii,8.28542,4.14271
Phoradendron perrotettii 1,Phoradendron perrotettii,8.39553,4.197765
Phoradendron perrotettii 1,Phoradendron perrotettii,8.05662,4.02831
Phoradendron perrotettii 1,Phoradendron perrotettii,10.32746,5.16373
Phoradendron perrotettii 1,Phoradendron perrotettii,9.64964,4.82482
Phoradendron perrotettii 1,Phoradendron perrotettii,7.08136,3.54068
Phoradendron perrotettii 1,Phoradendron perrotettii,9.26783,4.633915
Phoradendron perrotettii 1,Phoradendron perrotettii,7.54039,3.770195
Phoradendron perrotettii 1,Phoradendron perrotettii,11.03674,5.51837
Phoradendron perrotettii 1,Phoradendron perrotettii,9.40797,4.703985
Phoradendron perrotettii 1,Phoradendron perrotettii,7.49606,3.74803
Phoradendron perrotettii 1,Phoradendron perrotettii,8.3941,4.19705
Phoradendron perrotettii 1,Phoradendron perrotettii,9.3236,4.6618
Phoradendron perrotettii 1,Phoradendron perrotettii,6.08608,3.04304
Phoradendron perrotettii 1,Phoradendron perrotettii,7.92935,3.964675
Phoradendron perrotettii 1,Phoradendron perrotettii,7.55326,3.77663
Phoradendron perrotettii 2,Phoradendron perrotettii,11.25982,5.62991
Phoradendron perrotettii 2,Phoradendron perrotettii,9.75689,4.878445
Phoradendron perrotettii 2,Phoradendron perrotettii,7.83926,3.91963
Phoradendron perrotettii 2,Phoradendron perrotettii,8.85885,4.429425
Phoradendron perrotettii 2,Phoradendron perrotettii,7.29872,3.64936
Phoradendron perrotettii 2,Phoradendron perrotettii,8.5371,4.26855
Phoradendron perrotettii 2,Phoradendron perrotettii,7.90933,3.954665
Phoradendron perrotettii 2,Phoradendron perrotettii,8.55283,4.276415
Phoradendron perrotettii 2,Phoradendron perrotettii,7.50464,3.75232
Phoradendron perrotettii 2,Phoradendron perrotettii,8.25253,4.126265
Phoradendron perrotettii 2,Phoradendron perrotettii,7.38023,3.690115
Phoradendron perrotettii 2,Phoradendron perrotettii,5.98312,2.99156
Phoradendron perrotettii 2,Phoradendron perrotettii,6.15472,3.07736
Phoradendron perrotettii 2,Phoradendron perrotettii,5.79007,2.895035
Phoradendron perrotettii 2,Phoradendron perrotettii,7.2358,3.6179
Phoradendron perrotettii 2,Phoradendron perrotettii,6.50936,3.25468
Phoradendron perrotettii 2,Phoradendron perrotettii,6.29486,3.14743
Phoradendron perrotettii 2,Phoradendron perrotettii,8.2225,4.11125
Phoradendron perrotettii 2,Phoradendron perrotettii,5.73144,2.86572
Phoradendron perrotettii 2,Phoradendron perrotettii,7.71485,3.857425
Phoradendron perrotettii 2,Phoradendron perrotettii,8.20105,4.100525
Phoradendron perrotettii 2,Phoradendron perrotettii,9.17774,4.58887
Phoradendron perrotettii 2,Phoradendron perrotettii,10.0958,5.0479
Phoradendron perrotettii 2,Phoradendron perrotettii,9.14771,4.573855
Phoradendron perrotettii 2,Phoradendron perrotettii,7.67767,3.838835
Phoradendron perrotettii 2,Phoradendron perrotettii,8.42556,4.21278
Phoradendron perrotettii 2,Phoradendron perrotettii,10.01429,5.007145
Phoradendron perrotettii 2,Phoradendron perrotettii,9.45659,4.728295
Phoradendron perrotettii 2,Phoradendron perrotettii,8.45988,4.22994
Phoradendron perrotettii 2,Phoradendron perrotettii,7.34591,3.672955
Phoradendron perrotettii 3,Phoradendron perrotettii,6.69812,3.34906
Phoradendron perrotettii 3,Phoradendron perrotettii,5.56699,2.783495
Phoradendron perrotettii 3,Phoradendron perrotettii,8.78306,4.39153
Phoradendron perrotettii 3,Phoradendron perrotettii,6.42642,3.21321
Phoradendron perrotettii 3,Phoradendron perrotettii,7.85928,3.92964
Phoradendron perrotettii 3,Phoradendron perrotettii,8.41984,4.20992
Phoradendron perrotettii 3,Phoradendron perrotettii,8.53996,4.26998
Phoradendron perrotettii 3,Phoradendron perrotettii,8.43128,4.21564
Phoradendron perrotettii 3,Phoradendron perrotettii,8.39982,4.19991
Phoradendron perrotettii 3,Phoradendron perrotettii,6.86686,3.43343
Phoradendron perrotettii 3,Phoradendron perrotettii,8.19104,4.09552
Phoradendron perrotettii 3,Phoradendron perrotettii,7.41312,3.70656
Phoradendron perrotettii 3,Phoradendron perrotettii,7.77348,3.88674
Phoradendron perrotettii 3,Phoradendron perrotettii,7.60188,3.80094
