label,ssp,indiv,Angle,Length
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-86.73,5.654
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-77.661,5.283
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-99.689,6.709
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-94.764,4.855
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-13.134,4.969
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-105.124,6.182
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-108.435,4.59
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-100.305,5.41
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-120.816,5.352
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,140.492,5.958
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,29.745,6.502
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-148.392,7.386
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-120.651,5.062
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,55.886,6.039
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-124.796,5.794
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-127.185,5.871
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-113.629,5.634
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,66.297,7.222
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-114.727,6.748
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-96.546,4.952
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-73.369,6.481
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-23.429,5.273
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,26.03,7.718
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-101.31,6.579
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-36.87,5.242
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-98.427,5.87
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-111.275,6.52
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-90,4.256
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-48.229,5.545
Phoradendeon perrotettii 1,Phoradendeon perrotettii,1,-95.234,5.282
Phoradendeon perrotettii 2,Phoradendeon perrotettii,2,-136.937,7.874
Phoradendeon perrotettii 2,Phoradendeon perrotettii,2,149.191,6.823
Phoradendeon perrotettii 2,Phoradendeon perrotettii,2,-116.188,5.482
Phoradendeon perrotettii 2,Phoradendeon perrotettii,2,47.902,6.195
