ssp;label;pic;PitDiameter;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 029.tif;33.134;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 029.tif;34.375;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 029.tif;29.339;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 029.tif;33.638;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 029.tif;23.854;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 029.tif;28.081;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 029.tif;29.387;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 029.tif;29.302;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 029.tif;25.43;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 029.tif;40.699;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 029.tif;28.767;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 029.tif;29.217;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 029.tif;24.157;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 030.tif;29.995;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 030.tif;33.514;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 030.tif;34.733;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 030.tif;29.674;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 030.tif;30.627;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 030.tif;29.352;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 030.tif;34.055;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 030.tif;28.713;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 031.tif;32.56;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 031.tif;30.961;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 031.tif;27.39;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 031.tif;22.236;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 031.tif;29.325;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 031.tif;35.314;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 031.tif;31.042;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 031.tif;22.593;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 032.tif;38.668;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 032.tif;33.267;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 032.tif;30.941;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 032.tif;37.447;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 032.tif;29.969;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 032.tif;29.968;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 032.tif;32.23;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 032.tif;28.081;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 033.tif;28.724;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 033.tif;30.03;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 033.tif;38.395;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 033.tif;32.384;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 033.tif;32.005;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 033.tif;25.34;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 034.tif;25.53;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 034.tif;24.854;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 034.tif;28.744;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 034.tif;28.628;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 035.tif;35.271;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 035.tif;27.729;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x100 035.tif;29.046;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 031.tif;25.787;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 031.tif;34.163;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 031.tif;34.308;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 031.tif;29.653;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 031.tif;34.163;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 031.tif;31.743;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 031.tif;28.619;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 031.tif;32.384;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 031.tif;27.19;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 031.tif;32.23;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 031.tif;27.098;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 031.tif;31.102;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 031.tif;29.115;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 031.tif;34.211;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 032.tif;23.344;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 032.tif;21.267;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 032.tif;30.352;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 032.tif;26.549;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 032.tif;29.897;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 032.tif;27.098;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 032.tif;28.364;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 032.tif;27.259;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 032.tif;25.907;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 033.tif;28.821;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 033.tif;32.326;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 033.tif;29.897;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 033.tif;31.042;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 033.tif;31.9;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 033.tif;36.027;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 035.tif;29.653;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 035.tif;31.743;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 035.tif;26.423;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 035.tif;28.386;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 035.tif;29.008;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 035.tif;28.357;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 035.tif;29.03;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 035.tif;25.779;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 035.tif;31.102;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 035.tif;25.779;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 035.tif;30.726;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 036.tif;25.536;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 036.tif;27.981;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 036.tif;29.008;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 036.tif;29.18;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 036.tif;27.72;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 037.tif;23.88;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 037.tif;28.944;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 037.tif;25.209;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x100 037.tif;26.736;;;;;;;;
