ssp,indiv,Label,Count,Total Area,Average Size,%Area,Circ.,Solidity
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,65,82177.15,1264.26,7.41,0.79,0.95
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 002-1.tif,41,59188.35,1443.62,5.33,0.81,0.96
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 003-1.tif,43,56467.54,1313.20,5.09,0.79,0.95
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 004-1.tif,52,74556.69,1433.78,6.72,0.80,0.95
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 005-1.tif,41,59949.46,1462.18,5.40,0.76,0.95
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,79,85360.91,1080.52,7.69,0.80,0.95
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 007-1.tif,49,67431.46,1376.15,6.08,0.80,0.96
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,50,65698.57,1313.97,5.92,0.77,0.95
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,52,67954.72,1306.82,6.12,0.80,0.95
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 010-1.tif,47,73848.25,1571.24,6.65,0.80,0.96
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 011-1.tif,38,56510.01,1487.11,5.09,0.76,0.94
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 012-1.tif,65,78514.30,1207.91,7.08,0.78,0.95
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x10 001-Recovered-2.tif,43,53546.26,1245.26,4.70,0.80,0.95
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x10 002-1.tif,57,77089.77,1352.45,6.74,0.81,0.96
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x10 003-1.tif,53,68260.53,1287.93,5.97,0.81,0.96
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x10 004-1.tif,37,56012.23,1513.84,4.90,0.77,0.95
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x10 005-1.tif,35,54048.29,1544.24,4.73,0.76,0.95
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x10 006-1.tif,46,68193.42,1482.47,5.96,0.76,0.96
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x10 007-1.tif,45,61338.32,1363.07,5.36,0.78,0.96
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x10 008-1.tif,36,57913.31,1608.70,5.07,0.78,0.96
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x10 009-1.tif,45,74473.44,1654.97,6.51,0.79,0.96
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x10 011-1.tif,52,71002.57,1365.43,6.21,0.73,0.95
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x10 012-1.tif,41,62046.76,1513.34,5.43,0.79,0.96
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x10 001.tif,58,90811.00,1565.71,6.81,0.69,0.92
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x10 002.tif,50,93214.00,1864.28,6.99,0.76,0.95
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x10 003.tif,60,117052.00,1950.87,8.78,0.72,0.94
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x10 004.tif,57,121655.00,2134.30,9.12,0.74,0.95
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x10 005.tif,60,127156.00,2119.27,9.54,0.72,0.94
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x10 006.tif,61,118567.00,1943.72,8.89,0.72,0.93
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x10 007.tif,44,68273.00,1551.66,5.12,0.72,0.94
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x10 008.tif,43,102005.00,2372.21,7.65,0.71,0.95
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x10 009.tif,54,103195.00,1911.02,7.74,0.75,0.95
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x10 010.tif,57,98099.34,1721.04,8.66,0.80,0.96
Populus nigra,Populus nigra 1,Populus nigra - VSB x10 006-1.tif,202,199701.00,988.62,18.97,0.70,0.94
Populus nigra,Populus nigra 1,Populus nigra - VSB x10 007-1.tif,233,209445.33,898.91,19.90,0.72,0.94
Populus nigra,Populus nigra 1,Populus nigra - VSB x10 008-1.tif,230,181960.38,791.13,17.29,0.70,0.93
Populus nigra,Populus nigra 1,Populus nigra - VSB x10 009-1.tif,256,217512.91,849.66,20.67,0.72,0.94
Populus nigra,Populus nigra 1,Populus nigra - VSB x10 010-1.tif,198,207711.13,1049.05,19.74,0.72,0.95
Populus nigra,Populus nigra 1,Populus nigra - VSB x10 011-1.tif,248,269031.30,1084.80,25.56,0.73,0.94
