ssp,indiv,Label,Area,Circ.,%Area,AR,Round
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,1339.591,0.851,99.176,1.15,0.869
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,1317.505,0.857,100,1.062,0.942
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,930.154,0.786,99.543,1.543,0.648
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,669.371,0.806,100,1.341,0.746
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,801.886,0.769,100,1.713,0.584
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,680.414,0.827,99.875,1.568,0.638
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,1194.334,0.887,99.787,1.359,0.736
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,1940.156,0.906,100,1.147,0.872
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,1024.443,0.908,100,1.224,0.817
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,1736.287,0.886,99.413,1.421,0.704
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,970.927,0.807,100,1.514,0.661
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,966.68,0.891,99.912,1.201,0.832
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,787.445,0.915,100,1.208,0.827
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,1418.59,0.885,100,1.262,0.792
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,1502.686,0.872,100,1.091,0.916
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,500.329,0.595,100,3.001,0.333
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,1273.333,0.828,99.867,1.69,0.592
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,2677.483,0.62,99.937,2.69,0.372
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,2206.885,0.656,100,2.672,0.374
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,1779.609,0.822,98.711,1.447,0.691
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,1269.936,0.764,100,1.952,0.512
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,1458.515,0.446,99.942,2.729,0.366
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif,638.79,0.629,100,2.867,0.349
