indiv,ssp,Length
Phoradendeon perrotettii 1,Phoradendeon perrotettii,5.654
Phoradendeon perrotettii 1,Phoradendeon perrotettii,5.283
Phoradendeon perrotettii 1,Phoradendeon perrotettii,6.709
Phoradendeon perrotettii 1,Phoradendeon perrotettii,4.855
Phoradendeon perrotettii 1,Phoradendeon perrotettii,4.969
Phoradendeon perrotettii 1,Phoradendeon perrotettii,6.182
Phoradendeon perrotettii 1,Phoradendeon perrotettii,4.59
Phoradendeon perrotettii 1,Phoradendeon perrotettii,5.41
Phoradendeon perrotettii 1,Phoradendeon perrotettii,5.352
Phoradendeon perrotettii 1,Phoradendeon perrotettii,5.958
Phoradendeon perrotettii 1,Phoradendeon perrotettii,6.502
Phoradendeon perrotettii 1,Phoradendeon perrotettii,7.386
Phoradendeon perrotettii 1,Phoradendeon perrotettii,5.062
Phoradendeon perrotettii 1,Phoradendeon perrotettii,6.039
Phoradendeon perrotettii 1,Phoradendeon perrotettii,5.794
Phoradendeon perrotettii 1,Phoradendeon perrotettii,5.871
Phoradendeon perrotettii 1,Phoradendeon perrotettii,5.634
Phoradendeon perrotettii 1,Phoradendeon perrotettii,7.222
Phoradendeon perrotettii 1,Phoradendeon perrotettii,6.748
Phoradendeon perrotettii 1,Phoradendeon perrotettii,4.952
Phoradendeon perrotettii 1,Phoradendeon perrotettii,6.481
Phoradendeon perrotettii 1,Phoradendeon perrotettii,5.273
Phoradendeon perrotettii 1,Phoradendeon perrotettii,7.718
Phoradendeon perrotettii 1,Phoradendeon perrotettii,6.579
Phoradendeon perrotettii 1,Phoradendeon perrotettii,5.242
Phoradendeon perrotettii 1,Phoradendeon perrotettii,5.87
Phoradendeon perrotettii 1,Phoradendeon perrotettii,6.52
Phoradendeon perrotettii 1,Phoradendeon perrotettii,4.256
Phoradendeon perrotettii 1,Phoradendeon perrotettii,5.545
Phoradendeon perrotettii 1,Phoradendeon perrotettii,5.282
Phoradendeon perrotettii 2,Phoradendeon perrotettii,7.874
Phoradendeon perrotettii 2,Phoradendeon perrotettii,6.823
Phoradendeon perrotettii 2,Phoradendeon perrotettii,5.482
Phoradendeon perrotettii 2,Phoradendeon perrotettii,6.195
Phoradendeon perrotettii 2,Phoradendeon perrotettii,5.104
Phoradendeon perrotettii 2,Phoradendeon perrotettii,5.97
Phoradendeon perrotettii 2,Phoradendeon perrotettii,5.531
Phoradendeon perrotettii 2,Phoradendeon perrotettii,5.981
Phoradendeon perrotettii 2,Phoradendeon perrotettii,5.248
Phoradendeon perrotettii 2,Phoradendeon perrotettii,5.771
Phoradendeon perrotettii 2,Phoradendeon perrotettii,5.161
Phoradendeon perrotettii 2,Phoradendeon perrotettii,4.184
Phoradendeon perrotettii 2,Phoradendeon perrotettii,4.304
Phoradendeon perrotettii 2,Phoradendeon perrotettii,4.049
Phoradendeon perrotettii 2,Phoradendeon perrotettii,5.06
Phoradendeon perrotettii 2,Phoradendeon perrotettii,4.552
Phoradendeon perrotettii 2,Phoradendeon perrotettii,4.402
Phoradendeon perrotettii 2,Phoradendeon perrotettii,5.75
Phoradendeon perrotettii 2,Phoradendeon perrotettii,4.008
Phoradendeon perrotettii 2,Phoradendeon perrotettii,5.395
Phoradendeon perrotettii 2,Phoradendeon perrotettii,5.735
Phoradendeon perrotettii 2,Phoradendeon perrotettii,6.418
Phoradendeon perrotettii 2,Phoradendeon perrotettii,7.06
Phoradendeon perrotettii 2,Phoradendeon perrotettii,6.397
Phoradendeon perrotettii 2,Phoradendeon perrotettii,5.369
Phoradendeon perrotettii 2,Phoradendeon perrotettii,5.892
Phoradendeon perrotettii 2,Phoradendeon perrotettii,7.003
Phoradendeon perrotettii 2,Phoradendeon perrotettii,6.613
Phoradendeon perrotettii 2,Phoradendeon perrotettii,5.916
Phoradendeon perrotettii 2,Phoradendeon perrotettii,5.137
Phoradendeon perrotettii 3,Phoradendeon perrotettii,4.684
Phoradendeon perrotettii 3,Phoradendeon perrotettii,3.893
Phoradendeon perrotettii 3,Phoradendeon perrotettii,6.142
Phoradendeon perrotettii 3,Phoradendeon perrotettii,4.494
Phoradendeon perrotettii 3,Phoradendeon perrotettii,5.496
Phoradendeon perrotettii 3,Phoradendeon perrotettii,5.888
Phoradendeon perrotettii 3,Phoradendeon perrotettii,5.972
Phoradendeon perrotettii 3,Phoradendeon perrotettii,5.896
Phoradendeon perrotettii 3,Phoradendeon perrotettii,5.874
Phoradendeon perrotettii 3,Phoradendeon perrotettii,4.802
Phoradendeon perrotettii 3,Phoradendeon perrotettii,5.728
Phoradendeon perrotettii 3,Phoradendeon perrotettii,5.184
Phoradendeon perrotettii 3,Phoradendeon perrotettii,5.436
Phoradendeon perrotettii 3,Phoradendeon perrotettii,5.316
Phoradendeon perrotettii 3,Phoradendeon perrotettii,5.171
Phoradendeon perrotettii 3,Phoradendeon perrotettii,4.744
Phoradendeon perrotettii 3,Phoradendeon perrotettii,4.677
Phoradendeon perrotettii 3,Phoradendeon perrotettii,5.791
Phoradendeon perrotettii 3,Phoradendeon perrotettii,4.769
Phoradendeon perrotettii 3,Phoradendeon perrotettii,6.039
Phoradendeon perrotettii 3,Phoradendeon perrotettii,5.039
Phoradendeon perrotettii 3,Phoradendeon perrotettii,5.195
Phoradendeon perrotettii 3,Phoradendeon perrotettii,6.57
Phoradendeon perrotettii 3,Phoradendeon perrotettii,5.582
Phoradendeon perrotettii 3,Phoradendeon perrotettii,4.565
Phoradendeon perrotettii 3,Phoradendeon perrotettii,6.158
Phoradendeon perrotettii 3,Phoradendeon perrotettii,5.771
Phoradendeon perrotettii 3,Phoradendeon perrotettii,4.617
Phoradendeon perrotettii 3,Phoradendeon perrotettii,4.617
Phoradendeon perrotettii 3,Phoradendeon perrotettii,4.682
Psittacanthus robustus 1,Psittacanthus robustus,5.874
Psittacanthus robustus 1,Psittacanthus robustus,6.444
Psittacanthus robustus 1,Psittacanthus robustus,5.653
Psittacanthus robustus 1,Psittacanthus robustus,7.091
Psittacanthus robustus 1,Psittacanthus robustus,6.69
Psittacanthus robustus 1,Psittacanthus robustus,6.26
Psittacanthus robustus 1,Psittacanthus robustus,6.318
Psittacanthus robustus 1,Psittacanthus robustus,5.57
Psittacanthus robustus 1,Psittacanthus robustus,4.489
Psittacanthus robustus 1,Psittacanthus robustus,7.033
Psittacanthus robustus 1,Psittacanthus robustus,4.438
Psittacanthus robustus 1,Psittacanthus robustus,5.162
Psittacanthus robustus 1,Psittacanthus robustus,6.389
Psittacanthus robustus 1,Psittacanthus robustus,6.616
Psittacanthus robustus 1,Psittacanthus robustus,6.434
Psittacanthus robustus 1,Psittacanthus robustus,7.07
Psittacanthus robustus 1,Psittacanthus robustus,5.586
Psittacanthus robustus 1,Psittacanthus robustus,5.664
Psittacanthus robustus 1,Psittacanthus robustus,4.194
Psittacanthus robustus 1,Psittacanthus robustus,4.97
Psittacanthus robustus 1,Psittacanthus robustus,5.931
Psittacanthus robustus 1,Psittacanthus robustus,4.936
Psittacanthus robustus 1,Psittacanthus robustus,6.252
Psittacanthus robustus 1,Psittacanthus robustus,6.988
Psittacanthus robustus 1,Psittacanthus robustus,6.896
Psittacanthus robustus 1,Psittacanthus robustus,5.53
Psittacanthus robustus 1,Psittacanthus robustus,5.077
Psittacanthus robustus 1,Psittacanthus robustus,5.311
Psittacanthus robustus 1,Psittacanthus robustus,5.266
Psittacanthus robustus 1,Psittacanthus robustus,5.88
Psittacanthus robustus 2,Psittacanthus robustus,8.319
Psittacanthus robustus 2,Psittacanthus robustus,5.434
Psittacanthus robustus 2,Psittacanthus robustus,7.647
Psittacanthus robustus 2,Psittacanthus robustus,4.616
Psittacanthus robustus 2,Psittacanthus robustus,6.832
Psittacanthus robustus 2,Psittacanthus robustus,8.699
Psittacanthus robustus 2,Psittacanthus robustus,4.626
Psittacanthus robustus 2,Psittacanthus robustus,6.683
Psittacanthus robustus 2,Psittacanthus robustus,5.666
Psittacanthus robustus 2,Psittacanthus robustus,5.325
Psittacanthus robustus 2,Psittacanthus robustus,7.315
Psittacanthus robustus 2,Psittacanthus robustus,7.632
Psittacanthus robustus 2,Psittacanthus robustus,5.754
Psittacanthus robustus 2,Psittacanthus robustus,5.751
Psittacanthus robustus 2,Psittacanthus robustus,5.866
