ssp,indiv,Label,Area,Circ.,%Area,AR,Round,Solidity
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,845.732,0.769,99.315,1.566,0.638,0.971
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,965.664,0.656,98.844,2.13,0.469,0.957
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,585.188,0.736,100,1.937,0.516,0.974
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,168.733,0.821,99.51,1.671,0.599,0.948
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,172.455,0.798,96.882,1.313,0.761,0.929
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,336.638,0.832,100,1.556,0.643,0.947
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,330.849,0.782,99,1.675,0.597,0.945
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,108.353,0.916,100,1.25,0.8,0.936
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,705.121,0.818,100,1.351,0.74,0.96
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,751.026,0.789,98.733,1.688,0.592,0.962
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,561.615,0.852,99.485,1.396,0.716,0.959
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,220.841,0.525,98.876,3.51,0.285,0.926
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,968.559,0.804,97.78,1.504,0.665,0.966
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,540.11,0.723,100,1.707,0.586,0.939
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,846.559,0.867,98.534,1.109,0.902,0.967
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,698.09,0.883,100,1.384,0.723,0.969
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,728.28,0.785,96.934,1.564,0.639,0.956
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,536.802,0.859,99.461,1.361,0.735,0.959
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,165.838,0.884,100,1.458,0.686,0.942
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,232.421,0.842,99.288,1.718,0.582,0.957
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,838.287,0.878,99.408,1.355,0.738,0.97
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,236.557,0.87,98.776,1.481,0.675,0.953
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,184.034,0.823,98.652,1.245,0.803,0.932
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,967.318,0.787,98.119,1.601,0.625,0.965
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,1076.498,0.899,98.924,1.177,0.849,0.976
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,388.333,0.66,98.829,2.386,0.419,0.922
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,282.048,0.86,100,1.102,0.907,0.947
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,306.035,0.707,100,2.274,0.44,0.928
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,270.882,0.673,99.389,2.37,0.422,0.942
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,167.906,0.842,99.015,1.436,0.696,0.931
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,1104.621,0.751,98.802,1.683,0.594,0.941
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,165.838,0.884,100,1.343,0.744,0.935
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,100.909,0.96,100,1.059,0.945,0.948
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,253.926,0.822,99.023,1.199,0.834,0.941
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,246.069,0.826,100,1.459,0.685,0.945
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,544.246,0.743,99.772,1.393,0.718,0.946
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,1361.028,0.704,98.906,2.193,0.456,0.966
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,143.506,0.871,100,1.581,0.632,0.947
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,139.784,0.716,100,2.051,0.488,0.879
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,190.651,0.68,100,2.256,0.443,0.922
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,904.457,0.802,98.262,1.618,0.618,0.959
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,767.155,0.818,98.598,1.205,0.83,0.97
