"","indiv_tested","difference_observed","CI95","pvalue","Rdiff","trait"
"mean of x...1","Psittacanthus robustus 1 vs Vochysia thyrsoidea 1",-1.393,"(-1.94, -0.85)","<0.0001",-24.929,"WallThickness"
"mean of x...2","Psittacanthus robustus 2 vs Vochysia thyrsoidea 2",0.035,"(-0.38, 0.45)","0.86498",0.788,"WallThickness"
"mean of x...3","Psittacanthus robustus 3 vs Vochysia thyrsoidea 3",-0.442,"(-0.99, 0.11)","0.11374",-9.688,"WallThickness"
"mean of x...4","Phoradendron perrotettii 1 vs Tapirira guianensis 1",-0.405,"(-0.78, -0.03)","0.0345",-8.862,"WallThickness"
"mean of x...5","Phoradendron perrotettii 2 vs Tapirira guianensis 2",-0.391,"(-0.74, -0.04)","0.02835",-8.873,"WallThickness"
"mean of x...6","Phoradendron perrotettii 3 vs Tapirira guianensis 3",0.214,"(-0.16, 0.59)","0.25773",5.981,"WallThickness"
"mean of x...7","Struthanthus rhynchophyllus 1 vs Tipuana tipu 1",-1.237,"(-1.81, -0.66)","<0.0001",-24.646,"WallThickness"
"mean of x...8","Struthanthus rhynchophyllus 2 vs Tipuana tipu 2",-0.082,"(-0.87, 0.7)","0.83368",-1.596,"WallThickness"
"mean of x...9","Struthanthus rhynchophyllus 3 vs Tipuana tipu 3",-0.669,"(-1.11, -0.23)","0.00366",-13.281,"WallThickness"
"mean of x...10","Viscum album 1 vs Populus nigra 1",2.103,"(1.74, 2.47)","<0.0001",105.912,"WallThickness"
"mean of x...11","Viscum album 2 vs Populus nigra 2",2.37,"(2.04, 2.7)","<0.0001",211.773,"WallThickness"
"mean of x...12","Viscum album 3 vs Populus nigra 3",3.513,"(3.19, 3.84)","<0.0001",359.765,"WallThickness"
"mean of x...13","Psittacanthus robustus 1 vs Vochysia thyrsoidea 1",-31.961,"(-35.39, -28.53)","<0.0001",-26.075,"VesselDiameter"
"mean of x...14","Psittacanthus robustus 2 vs Vochysia thyrsoidea 2",-33.055,"(-36.54, -29.57)","<0.0001",-29.333,"VesselDiameter"
"mean of x...15","Psittacanthus robustus 3 vs Vochysia thyrsoidea 3",-6.519,"(-11.63, -1.41)","0.01253",-6.425,"VesselDiameter"
