"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"Dtop",0.972514829087248,-0.116223397351721,0.105807794205593,-0.0204252885467365,0.0644589449174288
"Dh",0.966575709327857,-0.180012996162473,0.0716197096485184,-0.0102317526636807,0.0762132766496386
"D",0.895818596909886,-0.230169040863758,-0.0990937554947884,0.0577590080496137,0.133078295719549
"Pcd",0.8732021217048,0.071277454505359,-0.21939357224462,-0.250412586593213,0.164253179950972
"Dpo",0.860882544197071,0.0252093875493997,0.107431809225999,-0.344281039826552,-0.19063143686883
"Kmax",0.72792307050185,0.0852787759488303,0.547840287501721,0.341875471221031,0.00885922991248329
"VD",-0.683678513649136,0.621934476853548,0.28824336156296,0.0327014220701852,0.170525787788387
"Fp",0.666227323281671,0.361107199724133,-0.514917631799185,0.130426205775425,-0.359433570411352
"Dpit",0.657851560317433,0.329675614714815,-0.450345043384571,0.353312414179414,0.270705772188516
"Fv",0.576200305526556,0.569823393412589,0.434748319987461,0.263746189310139,-0.168631868441397
"Tpm",-0.417560963786713,-0.722641490200034,-0.187302033053522,0.473619361318492,-0.0911694927718599
"Tvw",0.389124855141356,-0.809859891424144,0.320241002030392,-0.0179111674923403,-0.0109707710850456
